DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1951-0019-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,JPN,Japan,Eastern Asia,Asia,Entire nation except Hokkaido,,,No,No,No,,,Kph,,,,1951,10,,1951,10,,943,,,,,,,,,,,8.531619048,,2003-07-01,2023-09-25
1953-0018-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Nagoya,,,No,No,No,,,Kph,,,,1953,9,25,1953,9,25,250,,1000000,,1000000,,,,,,,8.794130403,,2003-07-01,2023-09-25
1953-0043-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1953,6,,1953,6,,29,,,,,,,,,,,8.794130403,,2003-07-01,2023-09-25
1954-0019-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,North Japan,,,No,No,No,,,Kph,,,,1954,9,26,1954,9,26,1761,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1954-0051-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1954,8,,1954,8,,46,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1954-0057-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1954,9,,1954,9,,27,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1955-0047-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1955,10,,1955,10,,72,,,,,,,,,,,8.787284074,,2003-07-01,2023-09-25
1956-0040-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1956,8,,1956,8,,46,,,,,,,,,,,8.921294773,,2003-07-01,2023-09-25
1957-0039-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1957,9,,1957,9,,109,,,,,,,,,,,9.219396236,,2003-07-01,2023-09-25
1958-0011-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Tokyo,,,No,No,No,,,Kph,,,,1958,9,21,1958,9,21,681,,,,,,,,,,,9.471012447,,2003-07-01,2023-09-25
1958-0012-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ida,JPN,Japan,Eastern Asia,Asia,Central Honshu,,,No,No,No,,,Kph,,,,1958,9,27,1958,9,27,1175,,,,,,,,,,,9.471012447,,2003-07-01,2023-09-25
1958-0035-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1958,7,,1958,7,,49,,,,,,,,,,,9.471012447,,2003-07-01,2023-09-25
1958-0038-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1958,8,,1958,8,,45,,,,,,,,,,,9.471012447,,2003-07-01,2023-09-25
1959-0013-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Vera,JPN,Japan,Eastern Asia,Asia,Entire nation,,,No,No,No,,,Kph,,,,1959,9,26,1959,9,26,5098,,1500000,,1500000,,,,,600000,6271731,9.566736597,,2004-10-19,2023-09-25
1959-0043-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1959,8,,1959,8,,139,,,,,,,,,,,9.566736597,,2003-07-01,2023-09-25
1959-0048-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1959,10,,1959,10,,27,,,,,,,,,,,9.566736597,,2003-07-01,2023-09-25
1960-0055-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1960,8,,1960,8,,41,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1961-0011-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Honshu + other Isles,,,No,No,No,,,Kph,,,,1961,9,16,1961,9,16,202,,,,,,,,,,,9.810138546,,2003-07-01,2023-09-25
1963-0081-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1963,9,,1963,9,,,,,,,,,,,,,10.05081019,,2003-07-01,2023-09-25
1964-0100-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1964,9,,1964,9,,42,,,,,,,,,,,10.17935249,,2003-07-01,2023-09-25
1965-0036-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dinah,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1965,6,10,1965,6,10,61,,30000,,30000,,,,,,,10.34071295,,2003-07-01,2023-09-25
1965-0046-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Jean,JPN,Japan,Eastern Asia,Asia,South,,,No,No,No,,,Kph,,,,1965,8,6,1965,8,6,26,40,,,40,,,,,,,10.34071295,,2003-07-01,2023-09-25
1965-0055-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Shirley,JPN,Japan,Eastern Asia,Asia,"Shikoku, Honshu",,,No,No,No,,,Kph,,,,1965,9,10,1965,9,10,60,730,,,730,,,,,,,10.34071295,,2003-07-01,2023-09-25
1966-0052-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kit,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,,Kph,,,,1966,6,28,1966,6,28,44,80,,,80,,,,,,,10.65249707,,2003-07-01,2023-09-25
1966-0065-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Alice & Cora,JPN,Japan,Eastern Asia,Asia,Ryukyu Islands,,,Yes,No,No,,,Kph,,,,1966,9,17,1966,9,17,314,41,13764,,13805,,,,,7900,74161,10.65249707,,2003-07-01,2023-09-25
1967-0045-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Billie,JPN,Japan,Eastern Asia,Asia,"South West, Western Japan",,,No,No,No,,,Kph,,,,1967,7,9,1967,7,9,263,395,2610,,3005,,,,,,,10.94786822,,2003-07-01,2023-09-25
1967-0069-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Diana,JPN,Japan,Eastern Asia,Asia,Central region,,,No,No,No,,,Kph,,,,1967,10,28,1967,10,28,27,34,45,,79,,,,,,,10.94786822,,2003-07-01,2023-09-25
1968-0058-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,"Kyushu, Shikoku",,,No,No,No,,,Kph,,,,1968,7,28,1968,7,28,22,,,,,,,,,,,11.41553662,,2003-07-01,2023-09-25
1968-0069-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,"Kagoshima, Makurazaki",,,No,No,No,,,Kph,,,,1968,9,,1968,9,,,,,,,,,,,,,11.41553662,,2003-07-01,2023-09-25
1968-0125-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,"Osaka, Sumoto",,,No,No,No,,,Kph,,,,1968,8,,1968,8,,102,,,,,,,,,,,11.41553662,,2003-07-01,2023-09-25
1971-0047-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Kyushu Island,,,No,No,No,,,Kph,,,,1971,8,5,1971,8,5,135,,,,,,,,,,,13.2889561,,2003-07-01,2023-09-25
1972-0053-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Helen,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,,Kph,,,,1972,9,16,1972,9,16,50,,,,,,,,,,,13.72380635,,2003-07-01,2023-09-25
1974-0035-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,"West, South",,,No,No,No,,,Kph,,,,1974,7,6,1974,7,6,33,50,,,50,,,,,,,16.18249195,,2003-07-01,2023-09-25
1974-0162-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Yui,,,No,No,No,,,Kph,,,,1974,5,29,1974,5,29,143,,,,,,,,,,,16.18249195,,2003-07-01,2023-09-25
1975-0049-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Phyllis,JPN,Japan,Eastern Asia,Asia,"Northern, Shikoku",,,No,No,No,,,Kph,,,,1975,8,15,1975,8,15,68,52,123,,175,,,,,505000,2859232,17.66208582,,2003-07-01,2023-09-25
1976-0062-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fran,JPN,Japan,Eastern Asia,Asia,Kyushu (Southern),,,No,No,No,,150,Kph,,,,1976,9,8,1976,9,8,169,107,325000,,325107,,,,,800000,4283404,18.6767338,,2003-07-01,2023-09-25
1977-0092-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Vera,JPN,Japan,Eastern Asia,Asia,Ryukyus,,,No,No,No,,,Kph,,,,1977,7,31,1977,7,31,16,,5000,,5000,,,,,,,19.89103658,,2003-07-01,2023-09-25
